annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
20200058;MARDI   ;21/07/2020;4;20/10/2020;29;15;42;14;24;2;4;-14-15-24-29-42-;-2-4-;0;1;49564587;0;3;177754,5;2;3;41544,1;8;37;1049,1;89;555;128,8;304;1427;52,9;223;1204;44,1;4364;21507;12,3;5202;26912;11;10904;56710;9,7;22022;107554;6,2;80072;399902;5,2;163066;832577;4;0;0;3;457,1;39;19,5;95;8;1468;1,2;1831;2,7;7563;3,1;11689;9,5;27615;2,2;234707;2,3;RV 049 2923;;
20200057;VENDREDI;17/07/2020;3;16/10/2020;7;27;41;15;43;7;9;-7-15-27-41-43-;-7-9-;0;0;0;3;7;96257,2;1;5;31495,6;13;53;925,4;196;957;94,4;550;2455;38,9;360;1739;38,5;7644;33820;9,9;8380;40886;9,1;14175;72686;9,5;37620;160145;5,2;118876;568827;4,6;208844;1030354;4,1;2;498,4;4;199,3;62;16;184;5,4;2625;0,9;2791;2,3;12504;2,5;18660;7,7;40266;2;311619;2,3;OU 340 6452;;
20200056;MARDI   ;14/07/2020;2;13/10/2020;30;22;37;11;47;9;10;-11-22-30-37-47-;-9-10-;0;0;0;0;0;0;2;6;101330,7;4;19;1888,1;81;487;135,6;137;818;85,4;215;1138;43,1;2027;12292;19,9;3956;21782;12,5;9547;51291;9,9;11098;66459;9,2;59649;325980;5,9;145134;778495;4;0;0;1;1227,5;26;26,2;46;14,8;762;2,2;1413;3,2;4077;5,2;6684;14,8;21512;2,6;195263;2,5;NY 772 1633;;
20200055;VENDREDI;10/07/2020;1;09/10/2020;30;38;15;17;23;2;7;-15-17-23-30-38-;-2-7-;0;0;0;6;9;74781,9;4;14;11235,7;22;66;742,3;225;964;93,6;680;2649;36;413;1909;35,1;8672;36019;9,3;9628;42487;8,8;17021;80362;8,6;43749;177965;4,7;124906;573219;4,6;227549;1095560;3,9;0;0;7;266,9;66;15,7;221;4,6;2884;0,9;3243;2,1;14433;2,2;23282;6,5;41744;2;333163;2,2;UL 180 7837;;
20200054;MARDI   ;07/07/2020;7;06/10/2020;41;33;23;12;16;8;10;-12-16-23-33-41-;-8-10-;0;1;144542315;2;8;112962,6;2;16;13200,6;7;54;1218,2;214;1068;113,4;379;1861;68,8;499;2492;36,1;5595;27209;16,5;9380;45013;11,1;21980;108567;8,6;30484;143534;7,8;130601;631726;5,6;316109;1527227;3,7;2;654,4;3;349;75;17,4;121;10,8;1898;1,7;3083;2,8;10504;3,9;17011;11,2;42948;2,5;364199;2,6;JF 734 1511;;
20200053;VENDREDI;03/07/2020;Super Jackpot et tirages suivants;02/10/2020;27;4;16;39;37;3;6;-4-16-27-37-39-;-3-6-;0;0;0;1;10;126332,6;7;33;8947,2;26;98;938,4;336;1552;109,1;955;3713;48,2;671;3327;37,8;14036;52823;11,9;15598;66033;10,6;31922;138411;9,4;73256;275443;5,7;226377;940515;5,3;463034;1961364;4;0;0;6;620,8;102;20,2;295;7;4405;1,1;4919;2,8;22824;2,8;39083;7,7;72260;2,3;641409;2,3;SE 756 4471;;
20200052;MARDI   ;30/06/2020;5;29/09/2020;11;42;1;28;6;2;10;-1-6-11-28-42-;-2-10-;0;0;0;0;1;565114,1;5;16;8254,7;8;23;1788,6;168;654;115,8;328;1299;61,6;390;1688;33,3;4041;18420;15,2;6339;28487;11;16054;71847;8,1;20120;95075;7,4;85696;400514;5,5;209798;980320;3,6;0;0;1;1435,9;43;18,5;114;6,9;1483;1,3;2118;2,5;7179;3,5;11266;10,3;29410;2,2;216153;2,6;GL 973 8980;;
20200051;VENDREDI;26/06/2020;4;25/09/2020;12;26;21;1;10;5;11;-1-10-12-21-26-;-5-11-;0;0;0;2;9;75644,7;9;18;8839,7;7;38;1304,2;248;1049;87;295;1633;59,1;719;2726;24,8;4116;22953;14,7;9253;41590;9;24020;98412;7,1;20362;117337;7,2;108449;530351;5;272674;1232996;3,5;1;914,7;1;731,8;75;12,1;104;8,7;1372;1,6;2992;2;6950;4,1;10699;12,4;35363;2,1;243546;2,7;OZ 006 2321;;
20200050;MARDI   ;23/06/2020;3;22/09/2020;19;46;49;12;2;8;1;-2-12-19-46-49-;-1-8-;0;0;0;0;0;0;1;3;201011,8;2;21;1694,4;90;487;134,5;252;1142;60,6;231;1120;43,4;3302;15908;15,3;4649;22351;12,1;10940;51961;9,7;17211;85896;7,1;68034;337786;5,7;156054;773857;4;0;0;1;1216,6;20;33,7;86;7,8;1158;1,4;1601;2,8;5846;3,6;9383;10,5;23069;2,4;191079;2,5;BD 519 4518;;
20200049;VENDREDI;19/06/2020;2;18/09/2020;14;5;24;43;19;3;11;-5-14-19-24-43-;-3-11-;0;0;0;0;4;157456,5;2;8;18400;7;35;1309,9;147;744;113,5;311;1537;58;377;1722;36,4;3961;20217;15,5;6692;33500;10,4;16332;76928;8,4;19943;103921;7,5;93132;466080;5,3;228226;1083585;3,6;0;0;2;782,1;46;18,8;109;7,9;1341;1,6;2241;2,5;6845;3,9;10531;12;31138;2,3;233723;2,7;SD 890 4120;;
20200048;MARDI   ;16/06/2020;1;15/09/2020;39;9;11;4;17;2;10;-4-9-11-17-39-;-2-10-;0;0;0;0;2;228917,4;1;4;26750,8;4;16;2083;128;636;96,5;230;1128;57,5;378;1656;27,5;3256;15600;14,6;5517;26331;9,6;14398;68380;6,9;16006;76193;7,5;71327;353669;5,1;178563;879179;3,3;0;0;1;1176;39;16,7;92;7,1;1192;1,3;1942;2,2;5964;3,4;8813;10,8;24775;2,1;176330;2,6;GJ 375 0766;;
20200047;VENDREDI;12/06/2020;4;11/09/2020;24;39;46;2;45;4;8;-2-24-39-45-46-;-4-8-;0;1;51583717;0;2;337141,5;1;3;52530,3;8;38;1291,7;83;565;160;310;1564;61,1;199;1158;58;4712;23702;14,1;5132;26919;13,9;10696;58277;11,9;28909;142367;5,9;81550;419915;6,3;175492;911820;4,7;0;0;4;423,1;32;29,3;88;10,6;1517;1,5;1706;3,6;9261;3,1;17661;7,7;27308;2,8;294256;2,3;TI 890 2631;;
20200046;MARDI   ;09/06/2020;3;08/09/2020;46;36;27;5;15;8;2;-5-15-27-36-46-;-2-8-;0;0;0;1;3;165913,8;0;2;58165,1;10;33;1098;83;550;121,3;262;1427;49,4;164;1095;45,2;4274;22240;11,1;4259;23196;11,9;9336;51249;10;23954;120489;5,1;67457;352621;5,5;144730;765947;4,1;1;692,9;5;110,8;26;26,6;94;7,3;1492;1,1;1471;3,1;8264;2,6;14182;7,1;22899;2,4;209867;2,4;BV 585 0710;;
20200045;VENDREDI;05/06/2020;2;04/09/2020;24;11;37;17;5;6;3;-5-11-17-24-37-;-3-6-;0;0;0;0;3;211081,7;0;11;13454,5;13;67;688;254;1100;77,1;599;2434;36,8;448;2165;29,1;7135;31131;10,1;8812;42614;8,2;17509;84690;7,7;33144;149368;5,3;112688;545858;4,5;224871;1102940;3,6;0;0;3;521,5;77;11,2;164;5,3;2361;0,9;2768;2,1;10863;2,5;16171;7,8;36912;1,9;256110;2,4;OK 201 3475;;
20200044;MARDI   ;02/06/2020;1;01/09/2020;49;22;12;26;10;11;7;-10-12-22-26-49-;-7-11-;0;0;0;1;5;87507,8;2;9;11362,2;3;17;1873,6;132;547;107,2;209;1020;60,8;313;1288;33,8;2882;14935;14,5;5069;23592;10,3;11295;53698;8,4;14230;77349;7;67595;328824;5,2;150717;745473;3,7;0;0;0;0;39;43,4;73;8,2;1042;1,4;1771;2,2;5075;3,7;8157;10,8;23832;2;174043;2,5;FR 608 3244;;
20200043;VENDREDI;29/05/2020;1;28/08/2020;4;11;8;46;19;4;8;-4-8-11-19-46-;-4-8-;0;1;17000000;2;5;116611,2;5;13;10482,2;47;137;309,8;203;897;87,1;909;3574;23,1;421;1730;33,5;7580;33182;8,7;8918;37668;8,5;16672;74615;8;27287;134296;5,4;104859;492834;4,6;205739;984731;3,7;0;0;20;72,7;72;11,2;303;2,6;2467;0,8;2981;1,8;8878;2,8;12465;9,4;35096;1,9;222958;2,6;MO 301 6631;;
20200042;MARDI   ;26/05/2020;3;25/08/2020;9;4;27;14;21;4;6;-4-9-14-21-27-;-4-6-;1;2;18571740;0;5;92895,4;2;6;18092,6;18;63;536,7;226;999;62,3;480;1993;33;412;1869;24,7;5468;24082;9,6;7345;33423;7,7;14138;67756;7;23358;106041;5,4;81565;400538;4,5;166638;842619;3,5;0;0;4;286,8;83;7,6;158;4;1901;0,8;2529;1,6;7990;2,5;11261;8,2;28189;1,8;178616;2,5;FV 414 5061;;
20200041;VENDREDI;22/05/2020;2;21/08/2020;18;22;32;3;27;2;7;-3-18-22-27-32-;-2-7-;0;0;0;0;0;0;0;13;55708,2;9;53;806,2;150;842;93,4;557;2454;33,9;240;1496;39;7445;33462;8,7;7017;36228;9;12765;69537;8,7;35907;158062;4,6;99263;501467;4,6;180411;970867;3,8;0;0;3;469,1;49;15,9;171;4,5;2443;0,8;2285;2,2;11694;2,1;16640;6,8;32521;1,9;244998;2,3;ND 876 1904;;
20200040;MARDI   ;19/05/2020;1;18/08/2020;43;32;37;25;5;6;7;-5-25-32-37-43-;-6-7-;0;0;0;0;1;433824,4;1;6;16898,6;4;21;1503,8;76;467;124,5;159;981;62,6;162;934;46,2;2743;14287;15,1;3890;20912;11,5;7027;40300;11,1;16270;81398;6,6;60851;312561;5,4;110581;614114;4,4;0;0;2;561;22;28,3;56;11,1;928;1,6;1328;3,1;5603;3,5;9724;9,3;20928;2,4;218843;2;CU 770 5969;;
20200039;VENDREDI;15/05/2020;8;14/08/2020;34;23;32;39;11;1;6;-11-23-32-34-39-;-1-6-;1;1;72969058;0;1;565971,2;2;6;22046,1;6;31;1329;161;740;102,5;318;1409;56,9;336;1844;30,5;4412;19013;14,8;6611;29810;10,5;14242;70025;8,3;24326;101435;6,9;85677;386395;5,7;193742;915870;3,9;0;0;3;544,8;47;19,3;107;8,4;1404;1,6;2290;2,6;7729;3,7;13147;10;28566;2,6;273571;2,4;TK 926 0069;;
20200038;MARDI   ;12/05/2020;7;10/09/2020;16;9;29;39;37;4;11;-9-16-29-37-39-;-4-11-;0;0;0;0;1;425436,6;1;11;9039,2;4;27;1147;114;482;118,3;174;1017;59,3;284;1228;34,5;2800;13634;15,5;4550;21054;11,2;11122;50289;8,7;14566;70785;7,5;62387;287434;5,8;156046;683566;3,9;0;0;1;1277,6;40;17,7;53;13,3;1024;1,7;1570;3;5212;4,2;8598;12;21318;2,7;196203;2,6;CN 495 0418;;
20200037;VENDREDI;08/05/2020;6;06/09/2020;33;38;8;25;32;9;7;-8-25-32-33-38-;-7-9-;0;0;0;1;4;127034,9;0;2;59380,3;5;23;1608,3;103;481;141,6;280;1213;59,3;198;1018;49,7;4550;19060;13,2;4802;23726;11,8;9857;49676;10,5;27863;109056;5,8;79758;370064;5,4;155317;753374;4,2;0;0;2;718,6;32;24,9;86;9,2;1495;1,3;1597;3,3;9118;2,7;16620;7;26413;2,4;269695;2,1;WE 811 6067;;
20200036;MARDI   ;05/05/2020;5;03/09/2020;2;27;22;10;41;3;2;-2-10-22-27-41-;-2-3-;0;0;0;1;1;398633,9;1;2;46583,6;3;12;2418,2;146;611;87,4;251;1032;54,7;247;1045;38;3246;14408;13,7;6312;25736;8,6;10718;44589;9,2;16111;72201;6,9;83586;340813;4,6;147536;623612;4;1;670,3;2;268,1;55;12,1;80;8,3;1131;1,4;2133;2,1;5529;3,8;8273;11,8;28713;1,9;209128;2,3;IU 380 3989;;
20200035;VENDREDI;01/05/2020;4;30/08/2020;47;20;19;45;38;2;6;-19-20-38-45-47-;-2-6-;0;0;0;2;2;232361,2;1;4;27153,3;5;18;1879,4;83;401;155,4;233;1114;59,1;157;856;54;3869;17825;12,9;4083;19899;12,9;8598;43289;11,1;24452;103637;5,6;65937;307608;5,9;138003;664701;4,4;1;715,6;3;190,8;31;23;79;9;1226;1,4;1410;3,4;8077;2,7;13732;7,6;22215;2,6;229306;2,2;VG 211 9841;;
20200034;MARDI   ;28/04/2020;3;27/08/2020;32;28;26;15;23;1;5;-15-23-26-28-32-;-1-5-;0;0;0;0;2;177507,9;0;3;27657,6;6;20;1292,2;98;418;113,8;211;948;53;194;922;38,3;3083;13442;13,1;4426;19829;9,9;9514;41941;8,7;15797;68361;6,5;60583;272611;5,1;133879;588301;3,8;0;0;2;528,1;32;18,3;68;8,6;1035;1,4;1436;2,7;5367;3,4;8524;10;20340;2,3;172505;2,4;PL 337 1119;;
20200033;VENDREDI;24/04/2020;2;23/08/2020;28;5;1;21;19;7;4;-1-5-19-21-28-;-4-7-;0;0;0;0;2;221796,2;1;11;9424,9;16;58;556,7;275;838;70,9;600;1956;32,1;464;1666;26,5;6791;24446;9;9026;32242;7,6;16630;63734;7,2;30010;112741;4,9;104992;397681;4,4;194001;789050;3,5;0;0;6;219,5;98;7,4;188;3,8;2218;0,8;3045;1,6;9586;2,4;13989;7,6;34973;1,7;219530;2,4;MP 768 7600;;
20200032;MARDI   ;21/04/2020;1;20/08/2020;11;10;23;14;28;6;8;-10-11-14-23-28-;-6-8-;0;0;0;0;0;0;3;9;44642,1;14;36;658,5;206;630;69,3;340;1220;37,8;345;1302;24,9;4087;15103;10,7;6360;23666;7,6;13598;49650;6,7;17802;69348;5,8;73917;289915;4,4;153393;613372;3,3;0;0;4;251,2;66;8,4;115;4,8;1387;1;2165;1,7;6227;2,8;8568;9,5;25245;1,8;156896;2,5;DZ 292 6112;;
20200031;VENDREDI;17/04/2020;8;16/08/2020;37;32;45;28;16;1;11;-16-28-32-37-45-;-1-11-;0;1;67188313;0;2;248682,9;1;7;16606;5;25;1448,2;97;424;157,3;169;846;83,3;329;1382;35,8;2625;13216;18,7;4451;20091;13,7;12204;54040;9,5;14870;72658;8,5;61970;289473;6,7;171474;765397;4,1;0;0;1;1460,9;33;24,5;59;13,7;923;2,1;1508;3,6;5361;4,7;9735;12,1;20950;3,1;217281;2,7;EP 941 6404;;
20200030;MARDI   ;14/04/2020;7;13/08/2020;40;34;29;6;35;11;4;-6-29-34-35-40-;-4-11-;0;0;0;0;1;357319,7;0;0;0;1;11;9956,6;52;249;192,4;96;580;87,3;140;630;56,5;1764;9521;18,6;2548;12558;15,8;6130;29444;12,5;11053;56431;7,9;42425;205136;6,8;105120;488245;4,6;0;0;0;0;16;101,2;29;19,9;613;2,3;913;4,2;3877;4,7;7147;11,8;14584;3,2;164942;2,5;RY 887 0333;;
20200029;VENDREDI;10/04/2020;6;09/08/2020;33;17;3;39;10;1;4;-3-10-17-33-39-;-1-4-;0;0;0;0;0;0;0;6;97603,5;3;27;1279,8;113;621;102,5;247;1122;59,9;340;1499;31,5;3718;15836;14,9;6031;25977;10,1;14268;61580;7,9;19161;81248;7,3;86858;361603;5,1;198160;837155;3,6;0;0;1;1425,2;35;22,6;92;8,6;1226;1,6;1910;2,7;6197;4;10184;11,3;28324;2,3;222943;2,5;CK 238 9831;;
20200028;MARDI   ;07/04/2020;5;07/06/2020;33;14;4;48;5;7;12;-4-5-14-33-48-;-7-12-;0;0;0;1;3;115795,1;0;2;40594,8;1;8;3161;62;293;158,9;134;580;84,9;155;722;47,9;1962;8985;19,2;3269;14646;13,1;7709;35661;10;10466;48459;8,9;53752;232864;5,8;124938;557176;3,9;1;560,7;0;0;30;33,6;47;11,9;692;2;1168;3,2;3719;4,7;6097;13,4;18784;2,4;159077;2,5;IB 144 9020;;
20200027;VENDREDI;03/04/2020;4;03/06/2020;50;16;34;19;46;2;6;-16-19-34-46-50-;-2-6-;0;0;0;0;1;436604,6;0;1;102041,7;10;27;1177,1;83;395;148,2;222;957;64,6;154;862;50,4;3649;16390;13,2;3601;18322;13,2;7629;39155;11,5;22408;94506;5,7;62074;288016;5,9;128638;615452;4,5;0;0;3;415,6;27;25,6;84;8,2;1179;1,4;1142;4;7313;2,9;13574;7,4;20687;2,7;228328;2,2;ST 896 1391;;
20200026;MARDI   ;31/03/2020;3;31/05/2020;30;12;17;24;36;9;1;-12-17-24-30-36-;-1-9-;0;0;0;0;0;0;1;8;48887,1;4;20;1153,8;91;447;95,1;221;883;50,8;233;1017;31;2860;12204;12,9;3944;17399;10,1;9196;40152;8,1;14397;62225;6,3;51907;231617;5,4;120194;537703;3,7;0;0;2;442,1;29;16,9;77;6,3;949;1,2;1377;2,3;4665;3,3;7601;9,4;17633;2,2;135411;2,6;GO 523 3393;;
20200025;VENDREDI;27/03/2020;2;27/05/2020;14;41;27;46;11;3;2;-11-14-27-41-46-;-2-3-;0;0;0;0;3;134054,9;1;4;23498,1;3;11;2661,4;102;515;104,7;161;811;70,2;202;922;43,4;2748;12637;15,8;4760;20959;10,6;8895;40640;10,2;14485;68974;7,3;71085;309679;5,1;131050;594393;4,3;0;0;3;376,1;31;20,2;45;13,9;886;1,7;1528;2,7;4730;4,1;7953;11,5;23011;2,2;211511;2,1;EQ 601 1758;;
20200024;MARDI   ;24/03/2020;1;24/05/2020;33;12;7;26;30;11;10;-7-12-26-30-33-;-10-11-;0;0;0;0;0;0;1;7;50422,7;1;14;1487,6;87;342;112,1;125;517;78,4;252;984;28,9;1458;7338;19,4;2919;13096;12,1;10802;41534;7,1;7204;38881;9,2;39585;181198;6,2;137600;559969;3,2;0;0;1;817,7;37;12,2;42;10,8;487;2,3;1044;2,9;2510;5,7;3783;17,5;13990;2,6;102953;3,2;IW 207 3107;;
20200023;VENDREDI;20/03/2020;1;20/05/2020;40;9;20;34;3;6;12;-3-9-20-34-40-;-6-12-;1;1;17000000;0;1;410858,5;1;5;19204,8;3;17;1759,3;87;372;148,1;117;646;90,1;221;1026;39,8;2050;10259;19,9;3598;17906;12,7;10256;48304;8,7;10847;54381;9,4;53601;257346;6,3;154505;705250;3,7;0;0;0;0;28;61,8;47;13,1;776;1,9;1197;3,4;4057;4,8;6852;13,1;18119;2,8;157956;2,8;DQ 754 7123;;
20200022;MARDI   ;17/03/2020;5;17/05/2020;5;7;16;8;20;12;2;-5-7-8-16-20-;-2-12-;0;1;63600033;0;1;404531,9;4;10;9454,5;7;20;1472,4;198;663;81,8;211;909;63;543;1871;21,5;2651;11361;17,7;6485;24878;9;17750;65329;6,4;11916;56137;9;73342;308690;5,1;198269;802072;3,2;0;0;3;387,4;83;7,7;59;10,9;984;1,6;2382;1,8;4370;4,6;6635;14,2;25916;2;158797;2,9;EY 698 5252;;
20200021;VENDREDI;13/03/2020;4;13/05/2020;21;3;11;36;27;10;9;-3-11-21-27-36-;-9-10-;0;0;0;1;5;159677,5;3;10;18659,6;8;28;2075,7;269;1050;101,9;363;1458;77,6;605;2496;31,8;5001;21469;18,5;11144;43876;10,1;27439;107944;7,6;25756;108210;9,2;150457;586799;5,3;371375;1433503;3,5;0;0;3;807,9;91;14,7;102;13,2;1637;2;3525;2,5;8319;5;13443;14,6;47778;2,3;369298;2,6;OZ 957 7619;;
20200020;MARDI   ;10/03/2020;3;10/05/2020;23;43;30;11;37;5;12;-11-23-30-37-43-;-5-12-;0;0;0;1;4;132535,6;5;11;11263,9;10;30;1286,4;125;618;115;185;978;76,8;299;1393;37,9;2433;13649;19,3;4725;25024;11,7;12233;60287;9;12982;72480;9,1;66613;352601;5,9;174611;865052;3,8;1;756,7;3;201,8;39;19,4;63;12;863;2,1;1614;3,1;4530;5,2;8031;13,7;23095;2,7;205242;2,6;PZ 739 9603;;
20200019;VENDREDI;06/03/2020;2;06/05/2020;15;43;38;45;46;11;1;-15-38-43-45-46-;-1-11-;0;0;0;0;3;233153,1;0;2;81737,5;4;24;2121,6;69;454;206,6;217;1195;82,9;234;1239;56,2;3214;17365;20;4417;24578;15,8;11602;61429;11,7;18405;98569;8,8;69935;375415;7,3;186511;960898;4,6;0;0;1;1821,9;19;53,2;77;13,1;1135;2,2;1523;4,4;6493;4,9;12454;11,8;24045;3,4;281164;2,6;MU 910 9419;;
20200018;MARDI   ;03/03/2020;1;03/05/2020;27;44;4;14;45;10;1;-4-14-27-44-45-;-1-10-;0;0;0;1;2;250722,9;3;8;14649,5;10;31;1177,5;105;515;130,5;205;942;75,4;239;1323;37,7;2573;12916;19,3;4267;21927;12,7;11853;60320;8,5;13470;69504;9;62072;311126;6,3;169129;849665;3,7;1;746,3;4;149,2;38;19,6;64;11,6;988;1,8;1567;3,1;5025;4,6;8320;13;22599;2,7;196089;2,7;FW 423 7925;;
20200017;VENDREDI;28/02/2020;5;29/04/2020;8;11;23;20;22;4;3;-8-11-20-22-23-;-3-4-;0;1;67084644;1;4;197637,5;1;6;30794;18;86;669,1;350;1460;72,6;494;2458;45,5;644;2778;28,3;6382;31146;12,6;12964;56318;7,7;24659;110228;7,4;28327;142449;6,9;156684;718242;4,3;299898;1408162;3,5;0;0;5;419,1;116;10;164;7;2091;1,3;4363;1,7;9675;3,7;14037;12,1;53122;1,8;339607;2,4;JI 004 5663;;
20200016;MARDI   ;25/02/2020;4;26/04/2020;4;42;18;27;1;6;4;-1-4-18-27-42-;-4-6-;0;0;0;0;2;283293,4;0;4;33105,1;10;41;1005,9;151;698;108,8;449;1862;43,1;352;1551;36,3;6194;25527;11;6922;31969;9,8;13918;66345;8,8;28941;126041;5,6;92196;437820;5,1;190199;928177;3,8;0;0;5;312,1;67;12,9;157;5,5;2348;0,9;2627;2,2;10602;2,5;15607;8,1;34304;2;246971;2,5;OQ 161 5938;;
20200015;VENDREDI;21/02/2020;3;22/04/2020;32;23;30;45;7;5;9;-7-23-30-32-45-;-5-9-;0;0;0;1;4;183306,6;2;6;28561,1;14;64;834;192;1075;91,4;395;2748;37,8;401;1893;38,5;6384;35431;10,3;8177;41353;9,8;17339;83014;9,1;34181;180129;5;114601;578223;5;240724;1158067;4;0;0;5;402,8;60;18,6;131;8,5;2083;1,3;2864;2,6;11264;3,1;18536;8,8;39409;2,3;337500;2,4;RE 501 9639;;
20200014;MARDI   ;18/02/2020;2;19/04/2020;34;32;11;38;47;10;2;-11-32-34-38-47-;-2-10-;0;0;0;0;2;262027,4;1;3;40826,7;3;22;1734;75;432;162,6;237;1051;70,6;194;1084;48,1;3073;14720;17,7;3916;21333;13,6;9325;51032;10,6;17320;81867;8;59434;313390;6,5;141417;752328;4,4;0;0;1;1483,5;24;34,3;80;10,3;1170;1,7;1488;3,7;6728;3,8;12221;9,8;22254;3;248114;2,4;NA 431 6997;;
20200013;VENDREDI;14/02/2020;1;15/04/2020;5;35;20;41;49;10;6;-5-20-35-41-49-;-6-10-;0;0;0;1;3;244264,1;1;6;28544,2;3;22;2424,7;100;622;157,9;277;1413;73,5;306;1573;46,4;4027;20251;18;5845;27721;14,6;14149;67779;11,1;24351;114200;8;95066;433629;6,6;232793;1067373;4,3;0;0;0;0;35;95,8;117;10,2;1408;2,1;2025;3,9;8757;4,3;15773;11;33374;2,9;354316;2,4;MO 198 0573;;
20200012;MARDI   ;11/02/2020;1;12/04/2020;43;26;24;32;46;6;10;-24-26-32-43-46-;-6-10-;0;1;17000000;1;5;105507,3;0;5;24658,7;3;22;1745,5;93;441;160,4;210;1016;73,6;232;1073;48,9;2822;15248;17,2;4476;21754;13,4;9566;49845;10,9;15585;82255;8;63583;319038;6,5;142757;745826;4,4;0;0;0;0;42;53,1;79;10;991;2;1582;3,3;5586;4,4;10009;11,6;22658;2,9;238130;2,4;VQ 986 5562;;
20200011;VENDREDI;07/02/2020;Super Jackpot et tirages suivants;08/04/2020;17;15;9;25;40;9;3;-9-15-17-25-40-;-3-9-;0;1;130000000;3;10;130443,5;1;21;14517,5;33;125;759,6;351;1753;99,7;1122;4818;38,3;758;3470;37,4;15264;64186;10,1;17574;78373;9,2;35075;154867;8,7;74755;316390;5,1;240147;1051780;4,8;491544;2131657;3,8;2;996,3;8;199,2;91;21,8;347;5,7;4731;1;5490;2,4;23186;2,7;34382;8,4;74820;2,1;577805;2,5;PX 206 8108;;
20200010;MARDI   ;04/02/2020;3;05/04/2020;35;21;33;23;47;6;7;-21-23-33-35-47-;-6-7-;0;0;0;0;4;155596,4;0;9;16162,4;4;47;963,9;97;659;126,6;278;1573;56;222;1461;42,4;3826;22081;14;5207;32479;10,6;9613;61757;10,4;20273;116314;6,7;80717;473901;5,1;144653;910511;4,3;0;0;1;1350,4;34;22;80;9,3;1192;1,5;1706;2,9;6533;3,6;11927;9,1;25985;2,3;261869;2;JF 573 7673;;
