annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2020689;10/12/2020;midi;10/04/2021;5;7;8;17;20;22;23;24;28;29;37;41;53;55;58;59;61;67;68;69;2;Jokerplus indisponible;eur;
2020688;09/12/2020;soir;09/04/2021;2;4;11;12;13;18;21;25;27;29;30;32;35;36;50;53;58;62;66;70;2;0 391 330;eur;
2020687;09/12/2020;midi;09/04/2021;3;5;7;10;15;20;23;25;35;40;43;46;48;50;55;56;57;59;61;69;3;4 345 154;eur;
2020686;08/12/2020;soir;08/04/2021;7;9;10;17;27;30;33;34;37;38;39;41;48;52;56;63;67;68;69;70;3;1 817 091;eur;
2020685;08/12/2020;midi;08/04/2021;2;5;6;9;11;14;16;21;24;25;29;34;36;44;56;57;60;62;69;70;2;5 782 043;eur;
2020684;07/12/2020;soir;07/04/2021;5;8;13;18;22;23;24;25;26;28;29;33;34;37;41;43;49;57;59;67;3;6 779 265;eur;
2020683;07/12/2020;midi;07/04/2021;1;3;9;11;12;14;15;22;25;26;29;31;34;46;49;50;54;63;67;69;2;0 081 440;eur;
2020682;06/12/2020;soir;06/04/2021;6;9;11;14;20;26;31;34;39;40;43;51;53;54;56;59;60;61;65;67;2;5 665 535;eur;
2020681;06/12/2020;midi;06/04/2021;1;3;9;12;16;20;21;22;36;37;39;40;45;46;50;53;57;62;64;67;2;6 804 827;eur;
2020680;05/12/2020;soir;05/04/2021;5;6;11;12;24;26;30;35;43;45;47;49;50;57;60;63;64;65;66;69;2;3 566 971;eur;
2020679;05/12/2020;midi;05/04/2021;5;7;13;14;18;20;25;33;36;40;43;45;49;50;52;54;60;61;65;68;2;6 684 131;eur;
2020678;04/12/2020;soir;04/04/2021;4;5;11;13;14;21;24;30;32;33;37;43;44;47;48;55;59;60;68;69;2;0 920 638;eur;
2020677;04/12/2020;midi;04/04/2021;10;12;19;26;29;30;32;33;34;35;45;55;56;57;60;61;65;66;67;70;3;2 782 268;eur;
2020676;03/12/2020;soir;03/04/2021;2;8;9;10;11;13;23;24;26;29;31;35;46;48;59;61;62;63;66;69;2;4 072 655;eur;
2020675;03/12/2020;midi;03/04/2021;5;6;10;13;19;20;25;31;33;35;36;38;40;41;46;50;52;58;64;68;2;6 971 065;eur;
2020674;02/12/2020;soir;02/04/2021;3;5;6;9;17;19;20;21;24;30;36;37;40;41;42;46;51;55;61;62;2;1 416 722;eur;
2020673;02/12/2020;midi;02/04/2021;13;15;16;19;20;25;26;27;30;31;32;37;50;51;54;58;59;64;65;68;2;7 189 987;eur;
2020672;01/12/2020;soir;01/04/2021;5;6;7;8;9;11;13;15;23;30;38;42;44;45;49;52;55;61;65;69;2;6 141 548;eur;
2020671;01/12/2020;midi;01/04/2021;3;9;10;11;12;13;15;22;24;30;31;34;36;42;51;54;55;59;61;62;3;8 624 099;eur;
2020670;30/11/2020;soir;31/03/2021;4;6;9;12;16;17;20;25;29;32;35;39;40;46;52;53;60;63;64;68;3;2 046 757;eur;
2020669;30/11/2020;midi;31/03/2021;4;9;12;17;20;30;37;38;42;47;48;49;51;53;56;59;60;61;65;70;3;4 660 328;eur;
2020668;29/11/2020;soir;30/03/2021;1;2;3;14;15;17;24;25;37;45;48;49;55;57;58;62;64;66;67;70;2;9 863 571;eur;
2020667;29/11/2020;midi;30/03/2021;1;8;11;14;17;25;31;34;38;41;42;46;47;53;58;59;62;63;65;70;2;8 281 302;eur;
2020666;28/11/2020;soir;29/03/2021;1;3;4;8;11;24;28;33;34;39;43;45;52;53;57;58;59;64;66;69;3;7 517 433;eur;
2020665;28/11/2020;midi;29/03/2021;1;5;10;12;13;16;17;25;31;34;39;48;49;50;53;56;59;61;62;67;2;8 128 792;eur;
2020664;27/11/2020;soir;28/03/2021;8;11;17;19;21;24;31;34;36;38;43;46;47;49;59;62;63;64;67;68;3;7 341 427;eur;
2020663;27/11/2020;midi;28/03/2021;2;8;10;14;15;16;17;18;22;25;27;37;43;46;47;53;59;65;68;69;2;2 814 026;eur;
2020662;26/11/2020;soir;27/03/2021;1;3;6;9;11;13;19;20;25;29;35;39;41;45;49;55;59;61;62;70;2;1 974 027;eur;
2020661;26/11/2020;midi;27/03/2021;1;4;6;9;11;13;14;17;19;20;21;28;32;35;36;37;44;46;50;57;3;3 859 565;eur;
2020660;25/11/2020;soir;26/03/2021;4;12;14;18;20;27;28;34;36;44;46;47;55;57;59;61;62;63;65;66;2;4 980 514;eur;
2020659;25/11/2020;midi;26/03/2021;1;17;25;29;30;33;37;38;39;43;46;49;54;55;57;58;60;67;69;70;2;5 357 558;eur;
2020658;24/11/2020;soir;25/03/2021;3;8;10;11;13;18;26;27;33;36;38;42;43;47;49;51;53;56;66;69;3;7 312 267;eur;
2020657;24/11/2020;midi;25/03/2021;6;9;12;13;19;37;38;41;42;43;47;54;55;56;58;60;62;64;66;69;2;7 738 113;eur;
2020656;23/11/2020;soir;24/03/2021;9;13;17;23;24;28;29;33;34;41;52;53;54;55;57;59;63;64;65;69;3;4 569 920;eur;
2020655;23/11/2020;midi;24/03/2021;3;6;9;15;17;19;25;27;33;35;43;44;52;57;58;60;61;63;68;70;2;0 318 366;eur;
2020654;22/11/2020;soir;22/01/2021;1;3;5;12;14;19;20;25;28;29;42;44;49;50;56;57;59;63;65;68;2;2 744 199;eur;
2020653;22/11/2020;midi;22/01/2021;2;5;7;9;10;16;17;27;29;31;32;37;40;43;44;46;51;58;59;67;2;2 661 166;eur;
2020652;21/11/2020;soir;21/01/2021;1;3;4;6;8;13;21;22;24;25;28;29;33;38;42;53;59;64;65;66;2;5 496 500;eur;
2020651;21/11/2020;midi;21/01/2021;8;9;11;14;18;19;20;22;23;28;33;37;41;54;55;56;61;62;63;69;3;3 787 440;eur;
2020650;20/11/2020;soir;20/01/2021;2;6;7;12;15;18;19;23;27;31;34;40;41;46;51;54;59;66;67;68;2;2 066 202;eur;
2020649;20/11/2020;midi;20/01/2021;7;11;12;17;18;20;22;23;29;31;32;33;37;38;42;48;56;57;64;70;5;6 817 385;eur;
2020648;19/11/2020;soir;19/01/2021;1;2;3;4;15;17;18;27;30;31;34;43;47;51;53;54;57;58;63;66;3;0 839 997;eur;
2020647;19/11/2020;midi;19/01/2021;4;20;21;23;26;27;32;33;34;35;38;42;47;50;57;60;62;63;64;70;5;7 943 023;eur;
2020646;18/11/2020;soir;18/01/2021;2;6;7;10;13;16;22;26;33;39;41;44;47;52;59;61;64;66;67;68;3;1 573 389;eur;
2020645;18/11/2020;midi;18/01/2021;2;6;7;9;21;22;23;24;31;33;34;42;45;47;52;53;54;56;65;70;2;3 254 166;eur;
2020644;17/11/2020;soir;17/01/2021;5;6;7;13;20;21;34;37;39;43;44;50;51;56;57;61;63;68;69;70;2;8 637 819;eur;
2020643;17/11/2020;midi;17/01/2021;4;7;8;10;11;12;15;24;25;26;31;39;41;47;49;50;51;60;63;67;5;3 871 060;eur;
2020642;16/11/2020;soir;16/01/2021;1;4;5;7;8;12;14;16;21;25;27;47;48;50;54;55;59;60;64;68;2;0 305 012;eur;
2020641;16/11/2020;midi;16/01/2021;9;11;13;14;17;21;32;33;37;40;42;43;47;48;49;50;55;58;63;69;2;4 724 280;eur;
2020640;15/11/2020;soir;15/01/2021;5;8;15;17;20;35;37;39;43;44;45;51;52;57;60;63;65;67;69;70;2;7 862 617;eur;
2020639;15/11/2020;midi;15/01/2021;1;8;18;19;20;23;29;30;34;36;39;47;49;50;51;52;54;55;58;61;3;3 656 814;eur;
2020638;14/11/2020;soir;14/01/2021;1;3;4;12;13;14;16;18;20;23;29;32;36;42;52;60;61;64;66;68;2;0 907 117;eur;
2020637;14/11/2020;midi;14/01/2021;1;5;8;11;13;14;20;23;29;33;35;39;44;48;50;53;58;61;65;69;2;9 540 554;eur;
2020636;13/11/2020;soir;13/01/2021;2;10;15;19;22;23;25;34;35;39;42;47;51;54;56;57;61;63;66;67;3;0 973 006;eur;
2020635;13/11/2020;midi;13/01/2021;3;6;8;9;10;13;15;20;24;26;31;33;34;35;39;44;58;65;66;68;2;8 879 211;eur;
2020634;12/11/2020;soir;12/01/2021;3;5;9;10;12;16;17;20;21;24;27;29;32;41;49;54;55;57;63;64;2;2 431 646;eur;
2020633;12/11/2020;midi;12/01/2021;1;8;13;19;20;21;29;31;46;47;48;49;55;60;63;64;65;66;68;69;2;6 499 321;eur;
2020632;11/11/2020;soir;11/01/2021;6;11;17;18;25;27;28;33;35;36;38;43;46;48;49;50;56;65;66;67;3;2 653 244;eur;
2020631;11/11/2020;midi;11/01/2021;1;3;5;7;12;13;23;24;25;26;28;34;40;42;50;54;57;60;63;68;3;6 761 321;eur;
2020630;10/11/2020;soir;10/01/2021;3;6;8;14;16;22;25;27;30;35;36;38;49;50;53;55;57;59;61;63;2;6 188 302;eur;
2020629;10/11/2020;midi;10/01/2021;2;5;6;7;28;29;31;36;42;46;50;55;56;57;58;59;64;66;68;69;5;9 536 000;eur;
2020628;09/11/2020;soir;09/01/2021;2;4;7;8;14;24;25;31;35;38;41;42;43;44;47;48;51;54;55;61;2;9 432 989;eur;
2020627;09/11/2020;midi;09/01/2021;9;10;14;15;21;26;30;34;36;38;39;44;45;51;58;59;60;61;64;67;2;6 763 392;eur;
2020626;08/11/2020;soir;08/01/2021;7;11;16;17;20;23;25;38;39;41;44;51;54;57;58;59;60;61;66;69;3;0 262 632;eur;
2020625;08/11/2020;midi;08/01/2021;3;4;7;10;11;13;17;18;19;30;31;33;37;39;40;49;51;59;68;69;2;2 596 115;eur;
2020624;07/11/2020;soir;07/01/2021;1;3;5;7;22;23;25;27;35;43;46;50;51;52;59;61;64;65;68;69;5;1 111 648;eur;
2020623;07/11/2020;midi;07/01/2021;5;11;13;19;21;23;26;29;37;39;43;44;46;51;53;55;59;62;66;68;2;7 560 844;eur;
2020622;06/11/2020;soir;06/01/2021;9;12;13;17;27;35;36;38;39;44;50;51;52;55;59;62;66;67;68;69;3;7 201 005;eur;
2020621;06/11/2020;midi;06/01/2021;4;6;14;17;20;21;23;28;30;36;40;44;51;52;58;60;63;66;67;68;2;4 297 821;eur;
2020620;05/11/2020;soir;05/01/2021;4;5;11;13;16;20;27;28;29;31;39;45;46;47;48;51;58;60;62;65;3;8 222 012;eur;
2020619;05/11/2020;midi;05/01/2021;4;5;6;20;24;28;31;34;41;42;45;47;48;49;53;59;61;65;66;70;2;2 131 811;eur;
2020618;04/11/2020;soir;04/01/2021;2;5;18;20;21;22;23;28;34;37;39;49;54;56;59;60;63;65;68;69;2;9 026 324;eur;
2020617;04/11/2020;midi;04/01/2021;4;13;14;16;17;21;22;25;26;31;35;37;45;48;50;51;57;61;62;68;2;3 565 441;eur;
2020616;03/11/2020;soir;03/01/2021;5;7;14;17;22;23;27;28;32;35;36;39;40;41;45;55;59;60;62;66;2;6 038 307;eur;
2020615;03/11/2020;midi;03/01/2021;9;14;15;19;20;26;28;29;30;34;37;41;46;47;54;55;58;63;65;67;3;7 010 288;eur;
2020614;02/11/2020;soir;02/01/2021;7;13;15;16;17;19;20;21;25;31;32;44;46;49;51;52;60;63;67;70;2;0 218 295;eur;
2020613;02/11/2020;midi;02/01/2021;14;20;26;28;29;30;31;35;41;43;47;48;49;52;54;55;59;64;67;68;2;2 330 743;eur;
2020612;01/11/2020;soir;01/01/2021;2;6;17;23;24;26;28;32;33;34;44;45;47;50;52;53;55;64;67;70;3;3 869 187;eur;
2020611;01/11/2020;midi;01/01/2021;3;5;7;9;10;11;13;15;27;30;37;46;47;48;52;53;54;55;62;68;5;7 788 862;eur;
2020610;31/10/2020;soir;31/12/2020;5;10;12;15;19;23;28;30;36;41;43;48;52;55;60;61;63;65;69;70;2;9 673 357;eur;
2020609;31/10/2020;midi;31/12/2020;3;8;13;14;15;18;19;22;25;26;32;39;41;50;51;52;53;59;63;66;2;1 563 577;eur;
2020608;30/10/2020;soir;30/12/2020;1;2;8;16;17;22;25;29;34;39;43;44;54;55;58;59;62;66;68;70;2;5 348 068;eur;
2020607;30/10/2020;midi;30/12/2020;6;7;10;13;17;20;25;27;28;32;33;40;55;56;59;60;62;63;67;70;3;3 582 540;eur;
2020606;29/10/2020;soir;29/12/2020;7;10;20;23;24;29;30;38;39;40;44;45;46;48;49;54;61;64;66;70;2;6 164 622;eur;
2020605;29/10/2020;midi;29/12/2020;9;15;16;20;27;32;39;42;43;45;49;50;51;52;54;57;58;62;64;66;3;2 161 733;eur;
2020604;28/10/2020;soir;28/12/2020;1;3;11;13;15;16;17;23;24;26;35;41;43;45;48;50;63;65;67;70;2;0 257 275;eur;
2020603;28/10/2020;midi;28/12/2020;1;2;3;4;5;11;12;18;21;28;32;37;38;42;43;51;52;57;64;68;2;8 569 427;eur;
2020602;27/10/2020;soir;27/12/2020;6;10;14;16;18;23;24;25;27;28;35;39;44;46;47;51;56;63;67;69;5;2 852 829;eur;
2020601;27/10/2020;midi;27/12/2020;2;4;5;8;9;11;13;14;16;20;31;32;35;37;43;44;46;56;61;66;3;2 404 798;eur;
2020600;26/10/2020;soir;26/12/2020;3;6;13;21;26;28;32;33;38;40;43;49;54;55;57;61;62;65;67;70;2;8 362 629;eur;
2020599;26/10/2020;midi;26/12/2020;3;6;11;15;16;17;20;26;29;43;44;45;46;47;51;55;56;60;61;62;2;2 839 262;eur;
2020598;25/10/2020;soir;25/12/2020;1;12;14;15;16;19;20;21;22;26;42;45;50;52;57;58;64;65;69;70;2;6 199 896;eur;
2020597;25/10/2020;midi;25/12/2020;3;5;6;8;11;12;14;20;23;26;29;31;33;38;40;55;58;67;69;70;3;7 005 386;eur;
2020596;24/10/2020;soir;24/12/2020;2;5;6;11;16;21;24;25;26;37;40;44;46;50;51;52;54;61;62;69;2;6 864 474;eur;
2020595;24/10/2020;midi;24/12/2020;4;6;7;8;16;18;22;23;29;34;40;46;47;49;51;53;55;56;58;61;2;7 698 183;eur;
2020594;23/10/2020;soir;23/12/2020;1;9;18;20;22;25;35;36;39;40;41;42;45;46;48;54;56;62;63;67;5;8 023 060;eur;
2020593;23/10/2020;midi;23/12/2020;3;4;6;7;12;14;17;19;20;23;28;29;30;32;40;47;54;55;57;68;3;8 913 178;eur;
2020592;22/10/2020;soir;22/12/2020;3;5;8;10;11;12;13;15;19;20;23;24;30;39;43;44;45;47;54;68;5;2 878 061;eur;
2020591;22/10/2020;midi;22/12/2020;1;4;7;8;11;12;16;17;21;24;26;30;36;38;50;60;62;64;66;70;2;6 075 159;eur;
2020590;21/10/2020;soir;21/12/2020;1;3;8;10;15;16;18;21;22;23;25;28;30;38;39;43;53;55;61;70;2;9 623 973;eur;
2020589;21/10/2020;midi;21/12/2020;2;4;7;8;14;16;18;23;31;38;40;42;44;46;47;49;52;57;63;68;2;0 062 640;eur;
2020588;20/10/2020;soir;20/12/2020;1;2;4;5;11;12;16;19;21;22;23;26;32;43;49;53;58;61;66;69;3;6 116 370;eur;
2020587;20/10/2020;midi;20/12/2020;5;16;17;18;22;27;30;31;32;35;37;42;43;45;49;50;52;53;61;69;2;2 190 590;eur;
2020586;19/10/2020;soir;19/12/2020;5;8;10;15;16;25;28;29;31;32;37;41;42;47;57;60;62;65;66;70;2;7 825 493;eur;
2020585;19/10/2020;midi;19/12/2020;2;7;12;17;19;21;25;29;36;37;39;42;47;53;58;61;62;63;66;69;2;5 763 952;eur;
